"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that we can update existing users","122","testUpdateUser","Surefire suite","Fri Jul 11 13:47:16 GMT 2025","passed","Fri Jul 11 13:47:16 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testUpdateUser"
"Verify that we can create new albums with valid data","118","testCreateNewAlbum","Surefire suite","Fri Jul 11 13:47:00 GMT 2025","passed","Fri Jul 11 13:47:00 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testCreateNewAlbum"
"Verify that we can retrieve comments for a specific post","310","testGetCommentsForPost","Surefire suite","Fri Jul 11 13:46:55 GMT 2025","passed","Fri Jul 11 13:46:55 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testGetCommentsForPost"
"Verify that we can retrieve specific comments by valid IDs","74","testGetSingleComment","Surefire suite","Fri Jul 11 13:47:02 GMT 2025","passed","Fri Jul 11 13:47:02 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testGetSingleComment"
"Verify that requesting non-existent users returns 404","53","testGetNonExistentUser","Surefire suite","Fri Jul 11 13:47:16 GMT 2025","passed","Fri Jul 11 13:47:16 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testGetNonExistentUser"
"Verify that we can retrieve specific comments by valid IDs","64","testGetSingleComment","Surefire suite","Fri Jul 11 13:47:03 GMT 2025","passed","Fri Jul 11 13:47:03 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testGetSingleComment"
"Verify that we can retrieve specific todos by valid IDs","50","testGetSingleTodo","Surefire suite","Fri Jul 11 13:47:12 GMT 2025","passed","Fri Jul 11 13:47:12 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testGetSingleTodo"
"Verify that we can retrieve specific posts by valid IDs","82","testGetSinglePost","Surefire suite","Fri Jul 11 13:46:54 GMT 2025","passed","Fri Jul 11 13:46:54 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testGetSinglePost"
"Verify that we can completely update an existing post","185","testUpdatePost","Surefire suite","Fri Jul 11 13:46:57 GMT 2025","passed","Fri Jul 11 13:46:57 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testUpdatePost"
"Verify that we can partially update albums using PATCH","117","testPatchAlbum","Surefire suite","Fri Jul 11 13:47:01 GMT 2025","passed","Fri Jul 11 13:47:01 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testPatchAlbum"
